Product Title,Final Price,Reduction?,Price Without Reduction,URL Product,URL Image,Stock Status
Gosset Celebris Rose Extra Brut 2007-BP_419401,1750,no,,https://www.watsonswine.com/en/wine/gosset-celebris-rose-extra-brut-2007/p/BP_419401,https://www.watsonswine.com/medias/sys_master/front/prd/9032200814622.png,In Stock
Gosset Extra Brut Excellence NV (Turquoise)-BP_445979,378,no,,https://www.watsonswine.com/en/wine/gosset-extra-brut-excellence-nv-turquoise-/p/BP_445979,https://www.watsonswine.com/medias/sys_master/front/prd/8994641051678.png,In Stock
Beaumont Des Crayeres Grande Reserve Brut NV Special Edition-BP_450339,250,yes,298,https://www.watsonswine.com/en/wine/beaumont-des-crayeres-grande-reserve-brut-nv-special-edition/p/BP_450339,https://www.watsonswine.com/medias/sys_master/front/prd/9003858788382.png,In Stock
G. H. Mumm Grand Cordon NV (Without Gift box) -BP_469728,425,no,,https://www.watsonswine.com/en/wine/g-h-mumm-grand-cordon-nv-without-gift-box-/p/BP_469728,https://www.watsonswine.com/medias/sys_master/front/prd/9012732330014.png,In Stock
Perrier Jouet Blanc de Blancs NV-BP_478334,638,no,,https://www.watsonswine.com/en/wine/perrier-jouet-blanc-de-blancs-nv/p/BP_478334,https://www.watsonswine.com/medias/sys_master/front/prd/9028185063454.png,In Stock
Billecart Salmon Brut Rose NV - 150cl-BP_123971,1888,no,,https://www.watsonswine.com/en/wine/billecart-salmon-brut-rose-nv-150cl/p/BP_123971,https://www.watsonswine.com/_ui/desktop/theme-wine/img/revamped-cat-emptyImg.png,In Stock
Deutz Brut Classic NV-BP_165868,590,no,,https://www.watsonswine.com/en/wine/deutz-brut-classic-nv/p/BP_165868,https://www.watsonswine.com/medias/sys_master/front/prd/9018366394398.png,In Stock
Piper Heidsieck Cuvee Brut NV-BP_373777,458,no,,https://www.watsonswine.com/en/wine/piper-heidsieck-cuvee-brut-nv/p/BP_373777,https://www.watsonswine.com/medias/sys_master/front/prd/8994692300830.png,In Stock
Perrier Jouet Grand Brut NV - 150cl-BP_360060,998,no,,https://www.watsonswine.com/en/wine/perrier-jouet-grand-brut-nv-150cl/p/BP_360060,https://www.watsonswine.com/medias/sys_master/front/prd/9012061405214.png,Out of Stock
Billecart Salmon Nicolas Francois Brut 2002-BP_480808,1880,yes,2480,https://www.watsonswine.com/en/wine/billecart-salmon-nicolas-francois-brut-2002/p/BP_480808,https://www.watsonswine.com/medias/sys_master/front/prd/9016053235742.png,In Stock
